"","index","starts_x","starts_y","index_start","ends_x","ends_y","index_end"
"1466",1466,403286.393158328,4720369.42298254,16,388504.484067671,4729317.97352646,166
"1467",1467,403286.393158328,4720369.42298254,16,388752.390132452,4664009.05028392,80
"1468",1468,403286.393158328,4720369.42298254,16,389389.439294694,4729784.19371109,167
"1469",1469,403286.393158328,4720369.42298254,16,389746.202494421,4663895.71889556,79
"1470",1470,403286.393158328,4720369.42298254,16,390274.394521718,4730250.41389572,168
"1471",1471,403286.393158328,4720369.42298254,16,390740.014856391,4663782.3875072,78
"1472",1472,403286.393158328,4720369.42298254,16,391159.349748741,4730716.63408035,169
"1473",1473,403469.29725677,4719386.03439954,17,368930.287785204,4711887.15869783,138
"1474",1474,403469.29725677,4719386.03439954,17,369130.577019321,4710907.16316871,137
"1475",1475,403469.29725677,4719386.03439954,17,369330.866253437,4709927.1676396,136
"1476",1476,403469.29725677,4719386.03439954,17,369367.466271742,4712662.99613934,139
"1477",1477,403469.29725677,4719386.03439954,17,369531.155487554,4708947.17211048,135
"1478",1478,403469.29725677,4719386.03439954,17,369731.44472167,4707967.17658136,134
"1479",1479,403469.29725677,4719386.03439954,17,369931.733955787,4706987.18105225,133
"1480",1480,403469.29725677,4719386.03439954,17,369950.95875048,4713454.23086039,140
"1481",1481,403469.29725677,4719386.03439954,17,370132.023189903,4706007.18552313,132
"1482",1482,403469.29725677,4719386.03439954,17,370332.31242402,4705027.18999401,131
"1483",1483,403469.29725677,4719386.03439954,17,370529.622899058,4714268.03220298,141
"1484",1484,403469.29725677,4719386.03439954,17,370532.601658136,4704047.1944649,130
"1485",1485,403469.29725677,4719386.03439954,17,370732.890892253,4703067.19893578,129
"1486",1486,403469.29725677,4719386.03439954,17,370933.180126369,4702087.20340666,128
"1487",1487,403469.29725677,4719386.03439954,17,371133.469360486,4701107.20787754,127
"1488",1488,403469.29725677,4719386.03439954,17,371221.276730256,4714949.29200092,142
"1489",1489,403469.29725677,4719386.03439954,17,371333.758594602,4700127.21234843,126
"1490",1490,403469.29725677,4719386.03439954,17,371534.047828719,4699147.21681931,125
"1491",1491,403469.29725677,4719386.03439954,17,371734.337062835,4698167.22129019,124
"1492",1492,403469.29725677,4719386.03439954,17,371934.626296952,4697187.22576108,123
"1493",1493,403469.29725677,4719386.03439954,17,372134.915531068,4696207.23023196,122
"1494",1494,403469.29725677,4719386.03439954,17,372143.625363278,4715336.30623005,143
"1495",1495,403469.29725677,4719386.03439954,17,372335.204765185,4695227.23470284,121
"1496",1496,403469.29725677,4719386.03439954,17,372535.493999301,4694247.23917373,120
"1497",1497,403469.29725677,4719386.03439954,17,372735.783233418,4693267.24364461,119
"1498",1498,403469.29725677,4719386.03439954,17,372936.072467534,4692287.24811549,118
"1499",1499,403469.29725677,4719386.03439954,17,372994.111214269,4715856.40822564,144
"1500",1500,403469.29725677,4719386.03439954,17,373136.361701651,4691307.25258638,117
"1501",1501,403469.29725677,4719386.03439954,17,373336.650935767,4690327.25705726,116
"1502",1502,403469.29725677,4719386.03439954,17,373536.940169884,4689347.26152814,115
"1503",1503,403469.29725677,4719386.03439954,17,373737.229404,4688367.26599903,114
"1504",1504,403469.29725677,4719386.03439954,17,373820.180047789,4716420.37711663,145
"1505",1505,403469.29725677,4719386.03439954,17,373937.518638117,4687387.27046991,113
"1506",1506,403469.29725677,4719386.03439954,17,374137.807872233,4686407.27494079,112
"1507",1507,403469.29725677,4719386.03439954,17,374338.09710635,4685427.27941168,111
"1508",1508,403469.29725677,4719386.03439954,17,374538.386340466,4684447.28388256,110
"1509",1509,403469.29725677,4719386.03439954,17,374634.429329938,4716999.23724239,146
"1510",1510,403469.29725677,4719386.03439954,17,374738.675574583,4683467.28835344,109
"1511",1511,403469.29725677,4719386.03439954,17,374938.964808699,4682487.29282433,108
"1512",1512,403469.29725677,4719386.03439954,17,375139.254042816,4681507.29729521,107
"1513",1513,403469.29725677,4719386.03439954,17,375277.564558586,4717765.32084883,147
"1514",1514,403469.29725677,4719386.03439954,17,375339.543276932,4680527.30176609,106
"1515",1515,403469.29725677,4719386.03439954,17,375539.832511049,4679547.30623698,105
"1516",1516,403469.29725677,4719386.03439954,17,375740.121745165,4678567.31070786,104
"1517",1517,403469.29725677,4719386.03439954,17,375851.256593983,4718578.17507649,148
"1518",1518,403469.29725677,4719386.03439954,17,375940.410979282,4677587.31517874,103
"1519",1519,403469.29725677,4719386.03439954,17,376140.700213398,4676607.31964963,102
"1520",1520,403469.29725677,4719386.03439954,17,376319.248313749,4719462.19473952,149
"1521",1521,403469.29725677,4719386.03439954,17,376340.989447515,4675627.32412051,101
"1522",1522,403469.29725677,4719386.03439954,17,376541.278681631,4674647.32859139,100
"1523",1523,403469.29725677,4719386.03439954,17,376681.536735901,4720389.4935797,150
"1524",1524,403469.29725677,4719386.03439954,17,376741.567915748,4673667.33306228,99
"1525",1525,403469.29725677,4719386.03439954,17,376916.911942848,4721355.86076852,151
"1526",1526,403469.29725677,4719386.03439954,17,376918.911395806,4722355.30532974,152
"1527",1527,403469.29725677,4719386.03439954,17,376941.857149864,4672687.33753316,98
"1528",1528,403469.29725677,4719386.03439954,17,377000.06611637,4723257.11112627,153
"1529",1529,403469.29725677,4719386.03439954,17,377142.14638398,4671707.34200404,97
